ticker,direction,flow_score_raw,flow_score_scaled,price_score,reject_reason,checks_passed,checks_failed
GLNG,LONG,10.576232166834172,10.0,6,price_validation_failed,"confirmation_volume, pullback_to_ema, trend_aligned","bullish_rejection_wick, bullish_strong_close, healthy_pullback_volume, not_extended, pullback_to_support"
CRM,LONG,7.8216599199563515,4.2399623864088785,6,price_validation_failed,"bullish_strong_close, healthy_pullback_volume, not_extended, pullback_to_ema","bullish_rejection_wick, confirmation_volume, pullback_to_support, trend_aligned"
SPY,LONG,7.48816844578797,3.542604225918042,0,weak_bullish_flow,none,"bullish_rejection_wick, bullish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema, pullback_to_support, trend_aligned"
USAR,LONG,6.966100130927516,2.4509163481109546,6,price_validation_failed,"confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema","bullish_rejection_wick, bullish_strong_close, pullback_to_support, trend_aligned"
NEM,LONG,6.8019805986324675,2.1077288785443264,3,price_validation_failed,"confirmation_volume, pullback_to_support","bullish_rejection_wick, bullish_strong_close, healthy_pullback_volume, not_extended, pullback_to_ema, trend_aligned"
SLV,LONG,6.653880282972777,1.7980389113447204,4,price_validation_failed,"confirmation_volume, healthy_pullback_volume, pullback_to_support","bullish_rejection_wick, bullish_strong_close, not_extended, pullback_to_ema, trend_aligned"
NFLX,LONG,6.607770543483057,1.701619645480588,7,price_validation_failed,"bullish_rejection_wick, bullish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema","pullback_to_support, trend_aligned"
ORCL,LONG,6.540367685272403,1.5606747132875873,0,weak_bullish_flow,none,"bullish_rejection_wick, bullish_strong_close, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema, pullback_to_support, trend_aligned"
TQQQ,LONG,6.506410418770277,1.4896672701070055,6,price_validation_failed,"confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support","bullish_rejection_wick, bullish_strong_close, pullback_to_ema, trend_aligned"
NOW,LONG,6.325467672098215,1.1113010726261106,6,price_validation_failed,"confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_ema","bullish_rejection_wick, bullish_strong_close, pullback_to_support, trend_aligned"
