ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
AMZN,11.503027417107054,1.3885268732621512,1,1,12.891554290369205,2,77.0,1.230225,1.240876,1.219573,2,0,0,0.0,0.0,11.503027417107054,1.3885268732621512,1,1,1262404.0,3392080.0,3.253300982165285,0.6459736406421627,0,0,10.114500543844903,LONG,11.503027417107054,1.3885268732621512,0.0,0.0,8.28433906365981,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,2665266153604.0,0.0,1e-06,0.0,0.0,0.282821,0.465222,0.0,0.0,4.315901960317375e-08,5.2097118758086166e-09,0.134635361216531,0.14478671767403545,0.2426,0.0,0.5038,0.0,0.0,0.6,0.0,0.3586,0.0,0.4893,0.0,0.0,0.6,0.0,0.11037956800000001,0.108930964,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,512469.0,3044947.0,1262404.0,3392080.0,2042237.0,670000.0
APLD,0.0,761122.4837839897,0,2,761122.4837839897,2,58.0,3.667143,,3.667143,2,0,0,0.0,0.0,0.0,438090.2310714442,0,2,0.0,1222290.0,0.0,231325.97154348204,0,0,-761122.4837839897,SHORT,0.0,380561.24189199484,0.0,0.424416,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,9198921460.0,0.0,0.000133,0.0,2.5e-05,0.0,0.303927,0.0,0.0,0.0,0.4137020231630446,0.09014274375016745,0.45278435795048105,0.3014,0.0,0.0,0.0,0.0,0.6,0.0,0.3921,1.4485,1.7,0.1556,0.0,0.6,0.2317,0.06,0.7035755062676471,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,1222290.0,0.0,0.0
ARKG,0.0,0.0026533295150733952,0,1,0.0053066590301467905,1,31.0,45.70235,,45.70235,1,0,0,0.0,0.0,0.0,0.0026533295150733952,0,1,0.0,1610000.0,0.0,0.0016788396947618777,0,0,-0.0026533295150733952,SHORT,0.0,0.0026533295150733952,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,1374919000.0,0.0,0.001171,0.0,0.0,0.0,0.632729,0.0,0.0,0.0,1.9298078760082557e-08,0.1291267601197818,0.5114994530821066,0.6913,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.52,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,3220000.0,0.0,0.0
AVGO,0.0,0.044031254989850215,0,1,0.044031254989850215,1,30.0,2.076212,,2.076212,1,0,1,0.0,0.044031254989850215,0.0,0.044031254989850215,0,1,0.0,1664050.0,0.0,0.02307444977330278,0,0,-0.044031254989850215,SHORT,0.0,0.044031254989850215,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,1.0,0,0.0,1892115446372.0,0.0,1e-06,0.0,0.0,0.0,0.524047,0.0,0.0,0.0,2.3270913555659137e-10,0.07538190173398195,0.20038017930238866,0.1538,0.0,0.0,0.0,0.0,0.6,0.0,0.182,0.0,1.0718,0.0,0.15,0.6,0.0,0.06,0.182182416,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,2333481.0,0.0,1664050.0,25126980.0,0.0
BE,0.002256821012297671,718742.993105395,1,1,718742.995362216,2,31.0,6.282973,3.644377,8.921569,2,0,0,0.0,0.0,0.002256821012297671,718742.993105395,1,1,1240016.0,1471680.0,0.0007240854880702836,394229.6793065064,0,0,-718742.990848574,SHORT,0.002256821012297671,718742.993105395,0.0,0.0,3.1399554972311715e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,61235258888.0,2e-05,2.4e-05,0.0,6e-06,0.320843,0.548499,0.0,0.0,3.6854927263807655e-10,0.11737404334649491,0.2637630500135177,0.29558017455826424,0.3376,0.0,1.7,0.0,0.0,0.6,0.0,0.2059,0.4499,1.7,0.0,0.0,0.6,0.0,0.3031672804760186,0.3620793820655783,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,1353892.0,1240016.0,1471680.0,0.0,1832985.0
BIDU,0.0,1.019404495930121e-09,0,1,1.019404495930121e-09,1,99.0,2.751269,,2.751269,1,0,0,0.0,0.0,0.0,1.019404495930121e-09,0,1,0.0,632375.0,0.0,2.9178853521964413e-10,0,0,-1.019404495930121e-09,SHORT,0.0,1.019404495930121e-09,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,35099212855.0,0.0,1.8e-05,0.0,0.0,0.0,0.286234,0.0,0.0,0.0,2.904351445547884e-16,0.05840396498510957,0.245359136849952,0.2412,0.0,0.0,0.0,0.0,0.3429,0.0,0.5799,0.0,1.5309,0.0,0.0,0.3429,0.0,0.03428571428571428,0.2534050847907454,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,632375.0,826000.0,0.0
CAR,217773.68183007333,0.0,1,0,435547.36366014666,1,58.0,,,,1,0,0,0.0,0.0,217773.68183007333,0.0,1,0,368850.0,0.0,158693.25058038058,0.0,0,0,217773.68183007333,LONG,217773.68183007333,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,21465467338.0,1.7e-05,0.0,7e-06,0.0,0.728707,0.0,0.0,0.0,0.10145303542707025,0.0,0.1977056319009995,0.15714941331486326,0.988,0.389,0.0,0.0,0.0,0.6,0.0,0.9715,0.0,0.0,0.0,0.0,0.6,0.0,0.16132220876991943,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3589306.0,4493817.0,737700.0,0.0,0.0,0.0
CAT,0.0009014091388304941,0.0,2,0,0.0009014091389455089,2,38.5,1.835526,1.835526,,2,0,0,0.0,0.0,0.0009014091387154793,0.0,2,0,851146.0,0.0,0.00028915395726180845,0.0,0,0,0.0009014091388304941,LONG,0.00045070456941524706,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,371485405869.0,2e-06,0.0,0.0,0.0,0.32078,0.0,0.0,0.0,1.2132497328150295e-11,0.0,0.2051217772289174,0.10559116581129104,0.3875,0.0,0.9082,0.1556,0.0,0.6,0.0,0.4559,0.0,0.0,0.0,0.0,0.6,0.0,0.17055337733654072,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,825645.0,1759097.0,1173267.0,0.0,2025250.0,590275.0
CAVA,0.0,5.832305794213238e-11,0,1,5.832305794213238e-11,1,37.0,4.495536,,4.495536,1,0,0,0.0,0.0,0.0,5.832305794213238e-11,0,1,0.0,590000.0,0.0,2.2001086923464677e-11,0,0,-5.832305794213238e-11,SHORT,0.0,5.832305794213238e-11,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,11334030533.0,0.0,5.2e-05,0.0,0.0,0.0,0.377228,0.0,0.0,0.0,5.145835611816979e-17,0.11176850526868921,0.31108198808153376,0.5177,0.0,0.0,0.0,0.0,0.6,0.0,0.8108,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.40350841300326773,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,590000.0,0.0,0.0
CRCL,0.0010872568585627955,7.719573837075725e-05,1,1,0.0022517094554963483,2,63.0,5.785767,6.093117,5.478417,2,0,0,0.0,0.0,0.0010872568585627955,7.719573837075725e-05,1,1,723947.0,540000.0,0.000926847776390176,4.218164567899426e-05,0,0,0.0010100611201920382,LONG,0.0010872568585627955,7.719573837075725e-05,0.0,0.0,14.084415558549312,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,24260817574.0,3e-05,2.2e-05,0.0,0.0,0.852464,0.546425,0.0,0.0,4.48153428979242e-10,3.181910013349546e-11,0.29322728477195026,0.28818786046235195,0.6323,0.0,1.7,0.0,0.0,0.6,0.0,0.5819,0.0,1.7,0.0,0.0,0.6,0.0,0.337143410833306,0.31018355633839767,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,1447894.0,540000.0,0.0,0.0
