ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
ALAB,0.0,558.6584954407649,0,2,558.6584954407649,2,44.0,1.653596,,1.653596,2,0,0,0.0,0.0,0.0,435.10089910727595,0,2,-558.6584954407649,SHORT,0.0,279.32924772038245,0.0,0.778832,0.0,1.0,562772275.9501362,0.0,1e-06,0.05,0.26202960933806085
AMAT,152646.81557992494,0.0,1,0,152646.81557992494,1,90.0,0.538188,0.538188,,1,0,0,0.0,0.0,152646.81557992494,0.0,1,0,152646.81557992494,LONG,152646.81557992494,0.0,1.0,0.0,inf,1.0,2529371657.304361,6e-05,0.0,0.2987181479821106,0.05
BMNR,34678.55788128945,0.0,1,0,34678.55788128945,1,90.0,0.42315,0.42315,,1,0,0,0.0,0.0,34678.55788128945,0.0,1,0,34678.55788128945,LONG,34678.55788128945,0.0,1.0,0.0,inf,1.0,977961590.406112,3.5e-05,0.0,0.27286387056639455,0.05
CIA,0.0,94981.87692389617,0,1,94981.87692389617,1,56.0,0.217389,,0.217389,1,0,0,0.0,0.0,0.0,94981.87692389617,0,1,-94981.87692389617,SHORT,0.0,94981.87692389617,0.0,1.0,0.0,1.0,713209.6161285877,0.0,0.133175,0.05,0.5901598106316633
CMG,0.0,102657.07321941227,0,3,102657.07321941227,3,54.0,37.623958,,37.623958,3,0,2,0.0,102298.68535979897,0.0,84480.98457734256,0,3,-102657.07321941227,SHORT,0.0,34219.02440647076,0.0,0.822944,0.0,1.0,561417946.5549946,0.0,0.000183,0.05,0.5700087222373394
CRM,2288.4843160586693,480.0017101328689,1,3,2768.4860261915383,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2288.4843160586693,203.75721487102612,1,3,1808.4826059258003,LONG,2288.4843160586693,160.00057004428962,1.0,0.424493,4.767658672351804,1.0,2818850071.0199037,1e-06,0.0,0.2371567950824447,0.3067620903593297
GLNG,190666.73054615592,0.0,5,0,190666.73054615592,5,83.6,16.43556,16.43556,,5,1,0,67852.06665435602,0.0,67852.06665435602,0.0,5,0,190666.73054615592,LONG,38133.346109231185,0.0,0.355867,0.0,inf,1.0,156350828.99401626,0.001219,0.0,0.8980671765008503,0.05
HIMS,0.0,37655.44355665668,0,1,37655.44355665668,1,119.0,0.633262,,0.633262,1,0,0,0.0,0.0,0.0,37655.44355665668,0,1,-37655.44355665668,SHORT,0.0,37655.44355665668,0.0,1.0,0.0,0.7,1103238451.7217174,0.0,3.4e-05,0.0,0.2300894430961073
HOOD,6.057889010439866,44091.93883401008,1,3,44097.996723020515,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,6.057889010439866,43238.7034185948,1,3,-44085.88094499964,SHORT,6.057889010439866,14697.312944670026,1.0,0.980649,0.00013739221206047637,1.0,1916649833.3274515,0.0,2.3e-05,0.16578859114491645,0.3666229151492853
HPQ,0.0,1.0966649523976342,0,1,1.0966649523976342,1,32.0,0.999305,,0.999305,1,0,0,0.0,0.0,0.0,1.0966649523976342,0,1,-1.0966649523976342,SHORT,0.0,1.0966649523976342,0.0,1.0,0.0,1.0,358721314.5704355,0.0,0.0,0.05,0.16170650257794733
IWM,0.0,140566.17538991297,0,1,140566.17538991297,1,56.0,0.517895,,0.517895,1,0,1,0.0,140566.17538991297,0.0,140566.17538991297,0,1,-140566.17538991297,SHORT,0.0,140566.17538991297,0.0,1.0,0.0,1.0,12309687908.195473,0.0,1.1e-05,0.05,0.34576727188454953
LEU,0.0,65873.63732545101,0,1,65873.63732545101,1,90.0,0.772152,,0.772152,1,0,0,0.0,0.0,0.0,65873.63732545101,0,1,-65873.63732545101,SHORT,0.0,65873.63732545101,0.0,1.0,0.0,1.0,143239854.59089205,0.0,0.00046,0.05,0.28823344851341326
NEM,243811.93444413977,0.0,2,0,243811.93444413977,2,90.0,0.473432,0.473432,,2,0,0,0.0,0.0,121994.16536214808,0.0,2,0,243811.93444413977,LONG,121905.96722206988,0.0,0.500362,0.0,inf,1.0,1041712104.1442688,0.000234,0.0,0.342993126296975,0.05
NFLX,188373.93319192986,0.0,1,0,188373.93319192986,1,90.0,0.26066,0.26066,,1,0,0,0.0,0.0,188373.93319192986,0.0,1,0,188373.93319192986,LONG,188373.93319192986,0.0,1.0,0.0,inf,1.0,5013415483.062258,3.8e-05,0.0,0.29252383068369225,0.05
NOW,273.65270539733245,0.0,1,0,273.65270539733245,1,58.0,0.415313,0.415313,,1,0,0,0.0,0.0,273.65270539733245,0.0,1,0,273.65270539733245,LONG,273.65270539733245,0.0,1.0,0.0,inf,1.0,1996466267.387992,0.0,0.0,0.20440283533372805,0.05
ORCL,54300.42683949246,91177.91617936456,1,1,145478.343018857,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,54300.42683949246,91177.91617936456,1,1,-36877.4893398721,SHORT,54300.42683949246,91177.91617936456,1.0,1.0,0.5955436262951331,1.0,4574635010.135596,1.2e-05,2e-05,0.2747976352301464,0.2892507744415563
PLTR,0.0,44631.20860504588,0,1,44631.20860504588,1,56.0,0.111087,,0.111087,1,0,0,0.0,0.0,0.0,44631.20860504588,0,1,-44631.20860504588,SHORT,0.0,44631.20860504588,0.0,1.0,0.0,1.0,7481292179.187055,0.0,6e-06,0.05,0.28068997688444586
QCOM,0.0,37002.544376713944,0,1,37002.544376713944,1,56.0,0.121536,,0.121536,1,0,0,0.0,0.0,0.0,37002.544376713944,0,1,-37002.544376713944,SHORT,0.0,37002.544376713944,0.0,1.0,0.0,1.0,1689881062.3287992,0.0,2.2e-05,0.05,0.2784715360296269
QQQ,0.0,447176.83574439865,0,2,447176.83574439865,2,90.0,0.135121,,0.135121,2,0,0,0.0,0.0,0.0,294613.25462500437,0,2,-447176.83574439865,SHORT,0.0,223588.41787219932,0.0,0.658829,0.0,1.0,41537768904.985,0.0,1.1e-05,0.05,0.3333300584483566
RDDT,0.0,0.3851879964110654,0,1,0.3851879964110654,1,32.0,0.337539,,0.337539,1,0,0,0.0,0.0,0.0,0.3851879964110654,0,1,-0.3851879964110654,SHORT,0.0,0.3851879964110654,0.0,1.0,0.0,1.0,692712070.70224,0.0,0.0,0.05,0.15487680423805023
SLV,212543.95320352778,0.0,2,0,212543.95320352778,2,90.0,0.066005,0.066005,,2,0,0,0.0,0.0,108210.49481995373,0.0,2,0,212543.95320352778,LONG,106271.97660176389,0.0,0.509121,0.0,inf,1.0,3383183574.7619033,6.3e-05,0.0,0.2946945884365191,0.05
SOXS,20867.441048469125,0.0,1,0,20867.441048469125,1,56.0,1.328358,1.328358,,1,1,0,20867.441048469125,0.0,20867.441048469125,0.0,1,0,20867.441048469125,LONG,20867.441048469125,0.0,1.0,0.0,inf,1.0,2190147622.7168655,1e-05,0.0,0.321454033778179,0.05
SPY,281608.16444236523,316013.7311320201,2,3,597621.8955743853,5,51.8,0.837898,0.770209,0.883025,5,1,2,112223.97515460035,189599.22776614386,169384.1892877649,126414.50336587623,2,3,-34405.566689654894,SHORT,140804.08222118262,105337.91037734004,0.601489,0.400029,0.8911263552808046,1.0,58829483394.85289,5e-06,5e-06,0.34708300424674576,0.4632250538769702
TLT,0.0,34040.52600193264,0,1,34040.52600193264,1,119.0,0.142681,,0.142681,1,0,1,0.0,34040.52600193264,0.0,34040.52600193264,0,1,-34040.52600193264,SHORT,0.0,34040.52600193264,0.0,1.0,0.0,0.7,3867265630.974827,0.0,9e-06,0.0,0.27748316733143086
TQQQ,151777.32390927285,0.0,1,0,151777.32390927285,1,90.0,0.277038,0.277038,,1,0,0,0.0,0.0,151777.32390927285,0.0,1,0,151777.32390927285,LONG,151777.32390927285,0.0,1.0,0.0,inf,1.0,4798698263.319898,3.2e-05,0.0,0.2885788433120303,0.05
TSM,74446.42423344633,0.0,1,0,74446.42423344633,1,90.0,0.126289,0.126289,,1,0,0,0.0,0.0,74446.42423344633,0.0,1,0,74446.42423344633,LONG,74446.42423344633,0.0,1.0,0.0,inf,1.0,4550137408.487854,1.6e-05,0.0,0.27400983417972236,0.05
U,0.0,124.52014287118776,0,1,124.52014287118776,1,30.0,0.695533,,0.695533,1,0,0,0.0,0.0,0.0,124.52014287118776,0,1,-124.52014287118776,SHORT,0.0,124.52014287118776,0.0,1.0,0.0,1.0,276265493.5714363,0.0,0.0,0.05,0.21072127219320586
USAR,215.63210462927478,0.0,3,0,215.63210462927478,3,31.333333,1.261801,1.261801,,3,2,0,0.9170600326499971,0.0,214.71504459662478,0.0,3,0,215.63210462927478,LONG,71.87736820975826,0.0,0.995747,0.0,inf,1.0,212582988.77191713,1e-06,0.0,0.35835246606154386,0.05
WFC,0.0,66056.14269065323,0,1,66056.14269065323,1,90.0,0.243972,,0.243972,1,0,0,0.0,0.0,0.0,66056.14269065323,0,1,-66056.14269065323,SHORT,0.0,66056.14269065323,0.0,1.0,0.0,1.0,1581054099.551119,0.0,4.2e-05,0.05,0.285903335895196
XLI,0.0,71532.35249788896,0,3,71532.35249788896,3,61.0,74.277197,,74.277197,3,0,1,0.0,40869.03410432962,0.0,40869.03410432962,0,3,-71532.35249788896,SHORT,0.0,23844.11749929632,0.0,0.571336,0.0,1.0,2496668852.120533,0.0,2.9e-05,0.05,0.6013755436614838
XLU,0.0,18433.770821481863,0,2,18433.770821481863,2,43.0,0.662192,,0.662192,2,0,2,0.0,18433.770821481863,0.0,18205.531047965163,0,2,-18433.770821481863,SHORT,0.0,9216.885410740932,0.0,0.987618,0.0,1.0,1352190484.837553,0.0,1.4e-05,0.05,0.4123647563008145
