Date,open,high,low,close,volume
2026-04-06,577.6900024414062,582.7899780273438,572.0,573.02001953125,9515700
2026-04-07,572.47998046875,575.22998046875,564.760009765625,575.0499877929688,9580800
2026-04-08,606.0,629.9500122070312,591.8300170898438,612.4199829101562,32036600
2026-04-09,626.969970703125,637.5,623.0,628.3900146484375,19012900
2026-04-10,634.469970703125,638.5800170898438,624.3300170898438,629.8599853515625,13294800
2026-04-13,629.5,635.0,624.4000244140625,634.530029296875,9538900
2026-04-14,643.219970703125,666.260009765625,639.3699951171875,662.489990234375,17818000
2026-04-15,667.0,678.5,664.219970703125,671.5800170898438,14952600
2026-04-16,675.989990234375,677.5800170898438,667.75,676.8699951171875,9544800
2026-04-17,678.5999755859375,691.52001953125,675.1300048828125,688.5499877929688,16283500
2026-04-20,681.3599853515625,683.3800048828125,668.0,670.9099731445312,12534000
2026-04-21,671.0,676.2000122070312,667.3300170898438,668.8400268554688,8660100
2026-04-22,674.3599853515625,678.3800048828125,669.75,674.719970703125,9215600
2026-04-23,663.7000122070312,669.5599975585938,653.0499877929688,659.1500244140625,11667000
2026-04-24,660.3200073242188,680.6699829101562,653.8400268554688,675.030029296875,13348300
2026-04-27,671.0,682.5,670.8400268554688,678.6199951171875,12805200
2026-04-28,674.239990234375,678.1799926757812,665.6300048828125,671.3400268554688,10606800
2026-04-29,668.9099731445312,674.25,663.8099975585938,669.1199951171875,18947500
2026-04-30,619.3200073242188,620.8499755859375,600.0,611.9099731445312,52765000
2026-05-01,614.6900024414062,618.8800048828125,606.1099853515625,608.75,21404000
2026-05-04,607.9400024414062,614.0,602.75,610.4099731445312,16203900
2026-05-05,613.3099975585938,614.3499755859375,600.3599853515625,604.9600219726562,17171300
2026-05-06,601.0499877929688,619.9500122070312,598.0999755859375,612.8800048828125,19915500
2026-05-07,614.719970703125,624.97998046875,613.5399780273438,616.8099975585938,12280900
