ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
NAMS,0.0,414158.14616539725,0,1,414158.14616539725,1,115.0,333.333333,,333.333333,1,0,0,0.0,0.0,0.0,414158.14616539725,0,1,0.0,815040.0,0.0,204343.1551261955,0,0,-414158.14616539725,SHORT,0.0,414158.14616539725,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,3501001600.0,0.0,0.000233,10883.0,2148075.0,0.0,0.3794280925945323,0.0,5.8e-05,0.0,0.493394,0.0,0.0,0.0,1.182970456698441,0.12487188664531557,6.557851673678209,0.9059,0.0,0.0,0.0,0.0,0.3429,0.0,2.815,1.7,1.7,0.0,0.0,0.3429,0.0,0.03428571428571428,0.6642857142857143,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,815040.0,0.0,0.0,0.6557851673678209,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
CDNS,191840.43477445218,163.05216170685,1,1,383843.9217106112,2,53.0,16.125818,21.551724,10.699911,2,0,0,0.0,0.0,191840.43477445218,163.05216170685,1,1,314794.0,15780000.0,5122.93338454014,34.097212347812786,0,0,191677.38261274534,LONG,191840.43477445218,163.05216170685,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.5,91757967540.0,3e-06,0.000172,58938669.0,7790434.0,0.005341043585493931,2.025561091975107,0.0,0.0,0.026704,0.209118,0.0,0.0,0.02090722363600995,1.776980965012883e-05,0.3263156104955178,5.1149945308210665,0.8965,0.0667,1.7,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.0,0.0,0.6,0.0,0.2449896006871761,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,629588.0,15780000.0,0.0,0.0,0.5114994530821066,"confirmation_volume, momentum_aligned, not_extended, room_to_target, shooting_star_at_resistance",trend_aligned
EEFT,0.0,4.286946279861028e-05,0,1,8.573892559722056e-05,1,59.0,507.0,,507.0,1,0,0,0.0,0.0,0.0,4.286946279861028e-05,0,1,0.0,272500.0,0.0,2.31124464926001e-05,0,0,-4.286946279861028e-05,SHORT,0.0,4.286946279861028e-05,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,2958453073.0,0.0,9.2e-05,,,,,0.0,0.0,0.0,0.539135,0.0,0.0,0.0,1.4490499507953588e-10,0.14053460387758845,5.1149945308210665,0.8053,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.5026720828470521,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,545000.0,0.0,0.0,0.5114994530821066,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
BTDR,0.0,3.312820940500559e-11,0,1,3.312820940500559e-11,1,31.0,1538.615385,,1538.615385,1,0,0,0.0,0.0,0.0,3.312820940500559e-11,0,1,0.0,3433092.0,0.0,1.8814462802298682e-11,0,0,-3.312820940500559e-11,SHORT,0.0,3.312820940500559e-11,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,2213576221.0,0.0,0.001551,,,,,0.0,0.0,0.0,0.567929,0.0,0.0,0.0,1.4965922153807595e-16,0.13567543195299003,5.1149945308210665,0.7568,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,3433092.0,0.0,0.0,0.5114994530821066,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned"
VAL,0.0,1.7867911760724632e-13,0,1,3.5735823521449264e-13,1,32.0,2.267574,,2.267574,1,0,0,0.0,0.0,0.0,1.7867911760724632e-13,0,1,0.0,281250.0,0.0,8.861685467622351e-14,0,0,-1.7867911760724632e-13,SHORT,0.0,1.7867911760724632e-13,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,6739630646.0,0.0,4.2e-05,9256699.0,20377.0,0.0,13.802326152034157,0.0,0.0,0.0,0.495955,0.0,0.0,0.0,2.6511707687318613e-19,0.1476801381094453,4.328331716833166,0.8768,0.0,0.0,0.0,0.0,0.6,0.0,2.5264,0.0,1.202,0.0,0.0,0.6,0.0,0.06,0.3248164494769785,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,562500.0,0.0,0.0,0.43283317168331653,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned"
DASH,0.0,0.00038025428202934097,0,2,0.0003802560030827734,2,61.0,2.102173,,2.102173,2,0,1,0.0,1.7210534324227925e-09,0.0,0.00038025256097590855,0,2,0.0,2816526.0,0.0,0.00023248269712528483,0,0,-0.00038025428202934097,SHORT,0.0,0.00019012714101467049,0.0,5e-06,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,71358831303.0,0.0,3.9e-05,,,,,0.0,0.0,0.0,0.611385,0.0,0.0,0.0,2.6643813742879688e-11,0.09078685502029506,4.052841990612423,0.3079,0.0,0.0,0.0,0.0,0.6,0.0,2.0578,0.0,1.0895,0.1556,0.15,0.6,0.0,0.06,0.3350608689846607,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,3808231.0,1408750.0,0.0,0.4052841990612423,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned"
FFIV,0.0,1.0317134440683912e-18,0,2,1.0317134440683912e-18,2,37.0,,,,2,0,0,0.0,0.0,0.0,5.23327236012808e-19,0,2,0.0,2422500.0,0.0,4.6556581888546395e-19,0,0,-1.0317134440683912e-18,SHORT,0.0,5.158567220341956e-19,0.0,0.492759,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,2,1.0,16826917958.0,0.0,0.000144,1918699.0,1782816.0,0.0,1.358805395509127,0.0,0.0,0.0,0.451255,0.0,0.0,0.0,3.065663737838232e-25,0.1402065036210039,3.851092229233765,0.8021,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,0.0,0.1556,0.0,0.6,0.2805,0.06,0.39360976984126983,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,2422500.0,0.0,0.0,0.38510922292337646,"confirmation_volume, ema_rally, momentum_aligned, not_extended, room_to_target",trend_aligned
BMNR,0.5623880848417434,1026624.9684128735,1,1,1026625.5308009583,2,117.5,2.627489,2.739009,2.515969,2,0,0,0.0,0.0,0.5623880848417434,1026624.9684128735,1,1,1096000.0,1533335.0,0.0592220629640788,563985.4745050927,0,0,-1026624.4060247886,SHORT,0.5623880848417434,1026624.9684128735,0.0,0.0,5.478028512312299e-07,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,11585901049.0,9.5e-05,0.000132,,,,,0.0,4.9e-05,0.105305,0.549359,0.0,0.0,4.85407291554837e-07,0.8860985123824127,0.2061000236028101,3.5505056544118885,0.1956,0.0,1.5225,0.0,0.0,0.3429,0.0,0.1368,1.7,1.3709,0.0,0.0,0.3429,0.0,0.46579154910342013,0.6313716062857142,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,1096000.0,1533335.0,0.0,1092000.0,0.35505056544118885,none,none
SEDG,0.0,1.0948993233724453e-16,0,1,1.0948993233724453e-16,1,69.0,4.228448,,4.228448,1,0,0,0.0,0.0,0.0,1.0948993233724453e-16,0,1,0.0,969784.0,0.0,8.652551300103586e-17,0,0,-1.0948993233724453e-16,SHORT,0.0,1.0948993233724453e-16,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,2860154868.0,0.0,0.000339,,,,,0.0,0.0,0.0,0.79026,0.0,0.0,0.0,3.8281120215636e-22,0.12336275598925762,3.5211897080777805,0.6336,0.0,0.0,0.0,0.0,0.6,0.0,1.2212,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,969784.0,0.0,0.0,0.35211897080777804,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
SPY,736272.353837465,3168047.9482890954,1,2,3904320.3021265604,3,72.333333,299.681513,2.544538,448.25,3,1,0,736272.353837465,0.0,736272.353837465,2522991.758659124,1,2,866712.0,3225291.0,289715.4514777544,1020601.3009799466,1,2,-2431775.5944516305,SHORT,736272.353837465,1584023.9741445477,0.0,0.203613,0.23240568509548254,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,31-90,0.0,0,0.0,715.022776,0.0,0.0,,,,,0.0,0.0,0.39349,0.322155,0.0,0.0,0.0,0.0,0.359028584,3.5082856933294186,1.45,0.0,1.3903,0.0,0.15,0.6,0.0,0.9787,0.0,1.7,0.1556,0.0,0.6,0.074,0.21402858400000002,0.2529564841269841,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,0.0,8978729.0,866712.0,3225291.0,887360.0,0.0,0.3508285693329419,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
