ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
RARE,0.0,1.6652186103913963e-48,0,2,1.6652186103913963e-48,2,80.5,1750.651042,,1750.651042,2,0,0,0.0,0.0,0.0,1.665218610391396e-48,0,2,0.0,4160000.0,0.0,6.24725119614286e-49,0,1,-1.6652186103913963e-48,SHORT,0.0,8.326093051956982e-49,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.5,2615562801.0,0.0,0.00159,3671848.0,4872827.0,0.0,0.853713870818726,0.0,0.0,0.0,0.375161,0.0,0.0,0.0,3.1832892900807785e-54,0.20180789946823205,5.220719294099316,0.8716,0.0,0.5465,0.0,0.0,0.6,0.0,2.815,0.0,1.6502,0.1556,0.0,0.6,0.0,0.06,0.5355555555555556,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-0.9991512084873871,1,0.40957140203577463,1,0.0,0.0,0.0,4160000.0,0.0,0.0,0.5220719294099316,"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, room_to_target, trend_aligned",none
PACS,0.0,5.91796618754268e-65,0,1,1.183593237508536e-64,1,45.0,10.75895,,10.75895,1,0,0,0.0,0.0,0.0,5.91796618754268e-65,0,1,0.0,448030.0,0.0,8.982156929068413e-66,0,1,-5.91796618754268e-65,SHORT,0.0,5.91796618754268e-65,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,6822681521.0,0.0,6.6e-05,144720.0,28992.0,0.0,15.453573399558499,0.0,0.0,0.0,0.151778,0.0,0.0,0.0,8.673959306655845e-71,0.17989488844666685,5.065163738543761,0.7694,0.0,0.4296,0.0,0.0,0.6,0.0,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.4409077476005272,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.3390788175773392,1,0.705985549113122,1,0.0,0.0,0.0,896060.0,0.0,0.0,0.5065163738543761,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
WH,0.0,7.516892595191308e-53,0,1,7.516892595191308e-53,1,35.0,67.164179,,67.164179,1,0,0,0.0,0.0,0.0,7.516892595191308e-53,0,1,0.0,544500.0,0.0,2.9950401432184147e-53,0,1,-7.516892595191308e-53,SHORT,0.0,7.516892595191308e-53,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,5289768776.0,0.0,0.000103,192424.0,885.0,0.0,615.2542372881356,0.0,0.0,0.0,0.398441,0.0,0.0,0.0,1.4210247958844445e-58,0.257367633778075,3.700169207722694,1.45,0.0,0.5237,0.0,0.0,0.6,0.0,1.45,0.0,1.6502,0.0,0.0,0.6,0.0,0.06,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-0.8046480117420022,1,3.5,1,0.0,0.0,0.0,544500.0,0.0,0.0,0.3700169207722694,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
SPX,802.325394147504,2628.2731963886577,1,3,3430.5985905361617,4,65.25,19.981651,22.792793,19.044604,4,0,0,0.0,0.0,802.325394147504,2628.2731963886577,1,3,3552000.0,3060250.0,379.39312582152513,1094.1672256506354,0,1,-1825.9478022411536,SHORT,802.325394147504,876.0910654628859,0.0,0.0,0.3052671218691908,1.0,0.0,0.3333333333333333,-0.3076923076923077,0.025641025641025605,31-90,0.0,0,0.0,,0.0,0.0,,,,,0.0,0.0,0.472867,0.416307,0.0,0.0,0.0,0.0,0.30170350816169555,3.6919355200542836,0.9787,0.0,1.4383,0.0,0.0,0.6,0.0,1.45,0.0,1.3308,0.3111,0.0,0.6,0.0,0.23,0.2611111111111111,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,-0.6745,3,-0.6745,3,0.0,574770.0,3552000.0,3060250.0,0.0,0.0,0.36919355200542836,none,none
AG,0.0,259620.77347127968,0,1,519241.54694255936,1,106.0,5.273196,,5.273196,1,0,0,0.0,0.0,0.0,259620.77347127968,0,1,0.0,373500.0,0.0,96828.75411898438,0,1,-259620.77347127968,SHORT,0.0,259620.77347127968,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,10416032845.0,0.0,3.6e-05,,,,,0.0,9e-06,0.0,0.372962,0.0,0.0,0.0,0.2492511086847285,0.0751506657711675,3.35103760122231,0.229,0.0,0.1796,0.0,0.0,0.3429,0.0,0.4345,0.9235,1.6502,0.0,0.0,0.3429,0.0,0.03428571428571428,0.42293296804273484,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.1294195143603236,1,0.0,0.0,0.0,747000.0,0.0,0.0,0.335103760122231,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
SMH,0.0,136.57279951120282,0,2,273.14559902240563,2,32.0,13.656184,,13.656184,2,0,1,0.0,67.83387752049087,0.0,68.73892199071194,0,2,0.0,687862.5,0.0,50.606965062906156,0,2,-136.57279951120282,SHORT,0.0,68.28639975560141,0.0,0.496687,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,66603606800.0,0.0,1e-05,,,,,0.0,0.0,0.0,0.370549,0.0,0.0,0.0,1.0252657931972749e-05,0.08442811141162579,3.2410637456356857,0.1945,0.0,0.0498,0.0,0.0,0.6,0.0,0.402,0.0,1.6502,0.1556,0.15,0.6,0.2833,0.06,0.3251234653049709,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.6392737664900685,1,-2.9428039748036565,1,950880.0,1150845.0,0.0,1375725.0,0.0,966545.0,0.32410637456356856,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target"
PLTR,0.0,15441.2988188929,0,5,30882.5976377858,5,84.4,11.836403,,11.836403,5,0,0,0.0,0.0,0.0,15441.2988188929,0,5,0.0,7116080.0,0.0,5386.686307579472,0,1,-15441.2988188929,SHORT,0.0,3088.25976377858,0.0,0.0,0.0,1.0,0.0,0.2,-0.3076923076923077,-0.1076923076923077,8-30,0.0,0,0.0,389878880732.0,0.0,1.8e-05,,,,,0.0,0.0,0.0,0.348849,0.0,0.0,0.0,7.921074765528086e-05,0.09212463725841986,3.182994189011339,0.2053,0.0,0.1159,0.0,0.0,0.6,0.0,0.3106,0.0,1.6502,0.6222,0.0,0.6,0.0,0.06,0.3582553007272533,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.5,1,1097703.0,1265390.0,0.0,7581680.0,1304910.0,0.0,0.3182994189011339,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned"
STX,3.985655172621097e-12,3.9900750980135446e-13,6,2,8.769325364764724e-12,8,87.5,3.766335,3.917257,3.31357,8,0,0,0.0,0.0,3.760427484752844e-12,2.3047915114334517e-13,6,2,2974510.0,625080.0,1.5168823819884411e-12,9.885561240288106e-14,1,0,3.5866476628197426e-12,LONG,6.642758621035161e-13,1.9950375490067723e-13,0.05651,0.422369,9.988922701242771,1.0,0.16666666666666666,0.0,-0.14102564102564105,-0.3076923076923077,91+,0.0,0,0.0,183251158584.0,1.6e-05,3e-06,,,,,0.0,0.0,0.380585,0.247754,0.0,0.0,3.6249476796569367e-20,1.0886902786441442e-20,0.3343755055521947,2.9949158597879197,0.3158,0.0,1.6502,0.7778,0.0,0.6,0.0,0.3589,0.0,1.6502,0.1556,0.0,0.6,0.2303,0.36655469625173626,0.27690521908524646,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.5,1,0.0,0.0,5161440.0,1250160.0,0.0,502850.0,0.299491585978792,none,none
CIEN,0.0,13122.626127161571,0,2,26245.252254323143,2,46.5,2.974513,,2.974513,2,0,1,0.0,13122.611001707704,0.0,13122.611001707704,0,2,0.0,842320.5,0.0,1998.002822161343,0,1,-13122.626127161571,SHORT,0.0,6561.313063580786,0.0,1e-06,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,50132382856.0,0.0,1.7e-05,21037011.0,56236849.0,0.0,0.01497808847718335,0.0,0.0,0.0,0.152256,0.0,0.0,0.0,0.0013087973660512943,0.10830872741322214,2.972922678762399,0.3334,0.0,0.1496,0.0,0.0,0.6,0.0,0.4172,0.0,1.6502,0.1556,0.15,0.6,0.0,0.06,0.32124294284927996,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.4134970170880066,1,-3.1636493594635637,1,0.0,0.0,0.0,1684641.0,1354691.0,0.0,0.29729226787623986,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
IREN,0.013619180931941076,0.004524945633634004,1,2,0.03628825313115016,3,83.0,3.505358,7.430769,1.542652,3,0,1,0.0,9.596956006516824e-06,0.013619180931941076,0.004515348677627487,1,2,494877.0,2560604.5,0.0016484225419383623,0.0027655876490011422,1,0,0.009094235298307073,LONG,0.013619180931941076,0.002262472816817002,0.0,0.002121,3.0097999036075604,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,15604722461.0,3.2e-05,0.000164,,,,,0.0,0.0,0.121037,0.611187,0.0,0.0,8.727602151194118e-09,1.4498641821227338e-09,0.23928589432740488,2.919194504143359,0.1427,0.0,1.6502,0.0,0.0,0.6,0.0,0.3635,0.0,1.6502,0.1556,0.15,0.6,0.0,0.3436240714508556,0.45145589155555554,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.5783149324552306,1,0.0,0.0,989754.0,5121209.0,1389090.0,1380000.0,0.2919194504143359,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned"
